game_id,score_margin_2_mins_home,abs_score_margin_2_mins,close_game
20800680,-4,4,True
20800681,-7,7,True
20800682,11,11,False
20800683,7,7,True
20800684,-9,9,True
20800685,15,15,False
20800686,19,19,False
20800687,-12,12,False
20800688,18,18,False
20800689,21,21,False
20800690,-4,4,True
20800691,-23,23,False
20800692,-11,11,False
20800693,2,2,True
20800694,-10,10,False
20800695,-14,14,False
20800696,11,11,False
20800697,14,14,False
20800698,10,10,False
20800699,10,10,False
20800700,-10,10,False
20800701,18,18,False
20800702,6,6,True
20800703,-19,19,False
20800704,-8,8,True
20800705,2,2,True
20800706,-11,11,False
20800707,-12,12,False
20800708,18,18,False
20800709,-20,20,False
20800710,-4,4,True
20800711,45,45,False
20800712,16,16,False
20800713,2,2,True
20800714,16,16,False
20800715,-4,4,True
20800716,5,5,True
20800717,15,15,False
20800718,12,12,False
20800719,4,4,True
20800720,34,34,False
20800721,-6,6,True
20800722,-27,27,False
20800723,2,2,True
20800724,-1,1,True
20800725,9,9,True
20800726,-4,4,True
20800727,-13,13,False
20800728,-1,1,True
20800729,11,11,False
20800730,16,16,False
20800731,4,4,True
20800732,2,2,True
20800733,24,24,False
20800734,-5,5,True
20800735,5,5,True
20800736,-13,13,False
20800737,-23,23,False
20800738,6,6,True
20800739,10,10,False
20800740,-26,26,False
20800741,-1,1,True
20800742,6,6,True
20800743,-27,27,False
20800744,11,11,False
20800745,39,39,False
20800746,6,6,True
20800747,-5,5,True
20800748,17,17,False
20800749,3,3,True
20800750,1,1,True
20800751,-7,7,True
20800752,6,6,True
20800753,13,13,False
20800754,-4,4,True
20800755,-3,3,True
20800756,0,0,True
20800757,6,6,True
20800758,-8,8,True
20800759,20,20,False
20800760,20,20,False
20800761,16,16,False
20800762,7,7,True
20800763,19,19,False
20800764,19,19,False
20800765,4,4,True
20800766,-18,18,False
20800767,-14,14,False
20800768,-6,6,True
20800769,-4,4,True
20800770,24,24,False
20800771,18,18,False
20800772,8,8,True
20800773,11,11,False
20800774,19,19,False
20800775,-6,6,True
20800776,0,0,True
20800777,-3,3,True
20800778,-5,5,True
20800779,5,5,True
20800780,-12,12,False
20800781,13,13,False
20800782,2,2,True
20800783,13,13,False
20800784,-2,2,True
20800785,-3,3,True
20800786,-3,3,True
20800787,5,5,True
20800788,9,9,True
20800789,0,0,True
20800790,-1,1,True
20800791,-4,4,True
20800792,1,1,True
20800793,-1,1,True
20800794,26,26,False
20800795,52,52,False
20800796,18,18,False
20800797,21,21,False
20800798,8,8,True
20800799,-19,19,False
20800800,-1,1,True
20800801,-10,10,False
20800802,30,30,False
20800803,-15,15,False
20800804,12,12,False
20800805,2,2,True
20800806,-2,2,True
20800807,-8,8,True
20800808,-24,24,False
20800809,-1,1,True
20800810,0,0,True
20800811,-14,14,False
20800812,26,26,False
20800813,-7,7,True
20800814,-10,10,False
20800815,-11,11,False
20800816,15,15,False
20800817,5,5,True
20800818,-8,8,True
20800819,17,17,False
20800820,14,14,False
20800821,-2,2,True
20800822,1,1,True
20800823,-31,31,False
20800824,16,16,False
20800825,12,12,False
20800826,10,10,False
20800827,1,1,True
20800828,6,6,True
20800829,-19,19,False
20800830,23,23,False
20800831,-1,1,True
20800832,23,23,False
20800833,27,27,False
20800834,-1,1,True
20800835,21,21,False
20800836,-3,3,True
20800837,1,1,True
20800838,-36,36,False
20800839,22,22,False
20800840,-4,4,True
20800841,7,7,True
20800842,18,18,False
20800843,7,7,True
20800844,11,11,False
20800845,17,17,False
20800846,-11,11,False
20800847,4,4,True
20800848,14,14,False
20800849,10,10,False
20800850,2,2,True
20800851,-11,11,False
20800852,13,13,False
20800853,-9,9,True
20800854,-12,12,False
20800855,2,2,True
20800856,21,21,False
20800857,9,9,True
20800858,6,6,True
20800859,-11,11,False
20800860,-1,1,True
20800861,19,19,False
20800862,24,24,False
20800863,7,7,True
20800864,-6,6,True
20800865,23,23,False
20800866,7,7,True
20800867,5,5,True
20800868,-2,2,True
20800869,-21,21,False
20800870,0,0,True
20800871,11,11,False
20800872,16,16,False
20800873,-11,11,False
20800874,18,18,False
20800875,1,1,True
20800876,0,0,True
20800877,3,3,True
20800878,-9,9,True
20800879,-4,4,True
20800880,13,13,False
20800881,16,16,False
20800882,-2,2,True
20800883,-6,6,True
20800884,9,9,True
20800885,2,2,True
20800886,4,4,True
20800887,6,6,True
20800888,-16,16,False
20800889,23,23,False
20800890,10,10,False
20800891,-9,9,True
20800892,-6,6,True
20800893,-11,11,False
20800894,-5,5,True
20800895,9,9,True
20800896,-24,24,False
20800897,15,15,False
20800898,8,8,True
20800899,4,4,True
20800900,-1,1,True
20800901,-22,22,False
20800902,10,10,False
20800903,-12,12,False
20800904,10,10,False
20800905,21,21,False
20800906,4,4,True
20800907,-3,3,True
20800908,10,10,False
20800909,-1,1,True
20800910,17,17,False
20800911,7,7,True
20800912,6,6,True
20800913,0,0,True
20800914,-19,19,False
20800915,19,19,False
20800916,16,16,False
20800917,6,6,True
20800918,4,4,True
20800919,-11,11,False
20800920,12,12,False
20800921,17,17,False
20800922,13,13,False
20800923,1,1,True
20800924,26,26,False
20800925,21,21,False
20800926,9,9,True
20800927,4,4,True
20800928,6,6,True
20800929,-8,8,True
20800930,-4,4,True
20800931,18,18,False
20800932,10,10,False
20800933,8,8,True
20800934,2,2,True
20800935,2,2,True
20800936,-5,5,True
20800937,-4,4,True
20800938,3,3,True
20800939,-1,1,True
20800940,16,16,False
20800941,15,15,False
20800942,8,8,True
20800943,7,7,True
20800944,-1,1,True
20900001,-4,4,True
20900002,-8,8,True
20900003,8,8,True
20900004,9,9,True
20900005,10,10,False
20900006,20,20,False
20900007,10,10,False
20900008,29,29,False
20900009,26,26,False
20900010,-22,22,False
20900011,-3,3,True
20900012,15,15,False
20900013,16,16,False
20900014,11,11,False
20900015,-7,7,True
20900016,1,1,True
20900017,12,12,False
20900018,-3,3,True
20900019,0,0,True
20900020,12,12,False
20900021,10,10,False
20900022,26,26,False
20900023,-9,9,True
20900024,-12,12,False
20900025,5,5,True
20900026,-17,17,False
20900027,-11,11,False
20900028,-3,3,True
20900029,13,13,False
20900030,25,25,False
20900031,-17,17,False
20900032,24,24,False
20900033,17,17,False
20900034,-7,7,True
20900035,11,11,False
20900036,8,8,True
20900037,19,19,False
20900038,-5,5,True
20900039,-8,8,True
20900040,8,8,True
20900041,3,3,True
20900042,-8,8,True
20900043,8,8,True
20900044,8,8,True
20900045,16,16,False
20900046,11,11,False
20900047,10,10,False
20900048,-16,16,False
20900049,1,1,True
20900050,2,2,True
20900051,14,14,False
20900052,-21,21,False
20900053,-32,32,False
20900054,2,2,True
20900055,-9,9,True
20900056,5,5,True
20900057,-2,2,True
20900058,2,2,True
20900059,-1,1,True
20900060,24,24,False
20900061,9,9,True
20900062,0,0,True
20900063,-29,29,False
20900064,-8,8,True
20900065,-3,3,True
20900066,1,1,True
20900067,-4,4,True
20900068,-7,7,True
20900069,8,8,True
20900070,-4,4,True
20900071,16,16,False
20900072,20,20,False
20900073,20,20,False
20900074,9,9,True
20900075,3,3,True
20900076,-4,4,True
20900077,12,12,False
20900078,-15,15,False
20900079,-19,19,False
20900080,-11,11,False
20900081,8,8,True
20900082,-34,34,False
20900083,13,13,False
20900084,6,6,True
20900085,25,25,False
20900086,-6,6,True
20900087,5,5,True
20900088,21,21,False
20900089,21,21,False
20900090,-8,8,True
20900091,4,4,True
20900092,4,4,True
20900093,-13,13,False
20900094,27,27,False
20900095,23,23,False
20900096,19,19,False
20900097,16,16,False
20900098,-3,3,True
20900099,-2,2,True
20900100,11,11,False
20900101,42,42,False
20900102,-26,26,False
20900103,-12,12,False
20900104,5,5,True
20900105,-2,2,True
20900106,-13,13,False
20900107,18,18,False
20900108,4,4,True
20900109,8,8,True
20900110,9,9,True
20900111,23,23,False
20900112,23,23,False
20900113,0,0,True
20900114,-12,12,False
20900115,8,8,True
20900116,-18,18,False
20900117,-14,14,False
20900118,25,25,False
20900119,7,7,True
20900120,-3,3,True
20900121,22,22,False
20900122,-8,8,True
20900123,18,18,False
20900124,18,18,False
20900125,-22,22,False
20900126,-13,13,False
20900127,-7,7,True
20900128,-19,19,False
20900129,-11,11,False
20900130,5,5,True
20900131,25,25,False
20900132,-7,7,True
20900133,22,22,False
20900134,-8,8,True
20900135,9,9,True
20900136,0,0,True
20900137,1,1,True
20900138,0,0,True
20900139,10,10,False
20900140,9,9,True
20900141,2,2,True
20900142,-3,3,True
20900143,-5,5,True
20900144,-1,1,True
20900145,3,3,True
20900146,-13,13,False
20900147,0,0,True
20900148,5,5,True
20900149,-2,2,True
20900150,4,4,True
20900151,-8,8,True
20900152,-6,6,True
20900153,10,10,False
20900154,-2,2,True
20900155,21,21,False
20900156,-14,14,False
20900157,8,8,True
20900158,14,14,False
20900159,1,1,True
20900160,20,20,False
20900161,-1,1,True
20900162,14,14,False
20900163,17,17,False
20900164,17,17,False
20900165,15,15,False
20900166,-9,9,True
20900167,12,12,False
20900168,0,0,True
20900169,6,6,True
20900170,6,6,True
20900171,-1,1,True
20900172,16,16,False
20900173,-6,6,True
20900174,-5,5,True
20900175,4,4,True
20900176,10,10,False
20900177,-2,2,True
20900178,10,10,False
20900179,11,11,False
20900180,8,8,True
20900181,18,18,False
20900182,8,8,True
20900183,-4,4,True
20900184,6,6,True
20900185,-3,3,True
20900186,10,10,False
20900187,4,4,True
20900188,27,27,False
20900189,25,25,False
20900190,1,1,True
20900191,29,29,False
20900192,-6,6,True
20900193,-2,2,True
20900194,21,21,False
20900195,-2,2,True
20900196,23,23,False
20900197,18,18,False
20900198,10,10,False
20900199,16,16,False
20900200,20,20,False
20900201,3,3,True
20900202,11,11,False
20900203,5,5,True
20900204,-3,3,True
20900205,15,15,False
20900206,-10,10,False
20900207,12,12,False
20900208,34,34,False
20900209,6,6,True
20900210,6,6,True
20900211,-2,2,True
20900212,-6,6,True
20900213,-12,12,False
20900214,-1,1,True
20900215,-29,29,False
20900216,14,14,False
20900217,21,21,False
20900218,9,9,True
20900219,21,21,False
20900220,-14,14,False
20900221,20,20,False
20900222,7,7,True
20900223,-9,9,True
20900224,-10,10,False
20900225,15,15,False
20900226,-6,6,True
20900227,-22,22,False
20900228,19,19,False
20900229,-6,6,True
20900230,5,5,True
20900231,-30,30,False
20900232,-10,10,False
20900233,10,10,False
20900234,-20,20,False
20900235,15,15,False
20900236,0,0,True
20900237,21,21,False
20900238,-30,30,False
20900239,6,6,True
20900240,0,0,True
20900241,-18,18,False
20900242,-3,3,True
20900243,-12,12,False
20900244,-3,3,True
20900245,6,6,True
20900246,-7,7,True
20900247,15,15,False
20900248,18,18,False
20900249,3,3,True
20900250,7,7,True
20900251,25,25,False
20900252,14,14,False
20900253,-18,18,False
20900254,-6,6,True
20900255,27,27,False
20900256,26,26,False
20900257,-9,9,True
20900258,12,12,False
20900259,32,32,False
20900260,15,15,False
20900261,17,17,False
20900262,-3,3,True
20900263,-19,19,False
20900264,13,13,False
20900265,-2,2,True
20900266,11,11,False
20900267,8,8,True
20900268,-13,13,False
20900269,-6,6,True
20900270,20,20,False
20900271,-2,2,True
20900272,-1,1,True
20900273,-9,9,True
20900274,14,14,False
20900275,7,7,True
20900276,20,20,False
20900277,4,4,True
20900278,10,10,False
20900279,-20,20,False
20900280,7,7,True
20900281,2,2,True
20900282,-4,4,True
20900283,-36,36,False
20900284,6,6,True
20900285,-4,4,True
20900286,-5,5,True
20900287,7,7,True
20900288,3,3,True
20900289,-5,5,True
20900290,11,11,False
20900291,9,9,True
20900292,-18,18,False
20900293,4,4,True
20900294,-13,13,False
20900295,18,18,False
20900296,-14,14,False
20900297,13,13,False
20900298,17,17,False
20900299,3,3,True
20900300,4,4,True
20900301,0,0,True
20900302,5,5,True
20900303,-3,3,True
20900304,2,2,True
20900305,3,3,True
20900306,7,7,True
20900307,-12,12,False
20900308,32,32,False
20900309,-7,7,True
20900310,0,0,True
20900311,-11,11,False
20900312,18,18,False
20900313,1,1,True
20900314,8,8,True
20900315,8,8,True
20900316,26,26,False
20900317,1,1,True
20900318,-2,2,True
20900319,10,10,False
20900320,16,16,False
20900321,-7,7,True
20900322,-21,21,False
20900323,-14,14,False
20900324,2,2,True
20900325,1,1,True
20900326,-7,7,True
20900327,-11,11,False
20900328,16,16,False
20900329,13,13,False
20900330,0,0,True
20900331,2,2,True
20900332,7,7,True
20900333,-24,24,False
20900334,-4,4,True
20900335,4,4,True
20900336,3,3,True
20900337,13,13,False
20900338,23,23,False
20900339,11,11,False
20900340,25,25,False
20900341,-28,28,False
20900342,-11,11,False
20900343,-27,27,False
20900344,5,5,True
20900345,18,18,False
20900346,-6,6,True
20900347,5,5,True
20900348,13,13,False
20900349,1,1,True
20900350,6,6,True
20900351,-3,3,True
20900352,11,11,False
20900353,25,25,False
20900354,-6,6,True
20900355,14,14,False
20900356,13,13,False
20900357,1,1,True
20900358,13,13,False
20900359,7,7,True
20900360,23,23,False
20900361,-3,3,True
20900362,-18,18,False
20900363,0,0,True
20900364,-20,20,False
20900365,0,0,True
20900366,-7,7,True
20900367,10,10,False
20900368,5,5,True
20900369,-9,9,True
20900370,6,6,True
20900371,17,17,False
20900372,5,5,True
20900373,23,23,False
20900374,18,18,False
20900375,2,2,True
20900376,7,7,True
20900377,15,15,False
20900378,21,21,False
20900379,6,6,True
20900380,4,4,True
20900381,9,9,True
20900382,-6,6,True
20900383,-6,6,True
20900384,-10,10,False
20900385,11,11,False
20900386,1,1,True
20900387,-4,4,True
20900388,-22,22,False
20900389,6,6,True
20900390,1,1,True
20900391,1,1,True
20900392,32,32,False
20900393,5,5,True
20900394,5,5,True
20900395,18,18,False
20900396,-10,10,False
20900397,0,0,True
